source,author,title,description,url,urlToImage,publishedAt,content,processed_text,segmented,sentiment
"{'id': None, 'name': 'Yahoo Entertainment'}",,金管會緊盯網紅行銷　辨別非法境外保單4方法,金管會加強管制網紅行銷金融商品，討論保險業訂定自律規範約束(圖/xframe),https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_1faee32b-fd8b-4cd5-b205-13d36f18771e,,2025-02-08T13:23:28Z,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+703 chars]",金管會緊盯網紅行銷　辨別非法境外保單4方法,金管會 緊 盯 網紅行銷 　 辨別 非法 境外 保單 4 方法,0.20757564122837524
"{'id': None, 'name': 'Secretchina.com'}",www.secretchina.com,乌克兰稀土资源丰富 泽连斯基愿换取美国支持(图),"美国总统川普宣称，作为俄乌战争全面爆发期间向乌克兰提供战时经济与军事援助的回报，华盛顿与基辅已经达成协议将获得乌克兰的稀土矿产。乌克兰总统泽连斯基也表示，愿意向美国提供稀土等矿产，以此换取美国的支持。 新闻 美国 - 看中国》是总部设于美国、以复兴传统中华文化为理念的独立媒体。自2001年起，坚持报导最新社会焦点和传统文化专题，中文报纸已在北美、欧洲、澳洲、亚洲等17个国家发行。中国新闻,中国大陆新闻,内幕新闻,中文媒体,新闻评论,时事,财经,博谈,历史,文化,养生,娱乐,奇闻。",https://www.secretchina.com/news/gb/2025/02/08/1077350.html,https://img6.secretchina.com/pic/2024/12-22/p3587402a141886732-ss.jpg,2025-02-08T13:12:26Z,"Thierry Monasse/Getty Images 
202528
23 
2023 
20% 
…… 
214163 
·Keith Kellogg 
·Michael Waltz 
:
:
.",乌克兰稀土资源丰富 泽连斯基愿换取美国支持(图),乌克兰 稀土 资源 丰富   泽 连斯基 愿 换取 美国 支持 ( 图 ),0.9797336188321315
"{'id': None, 'name': 'Yahoo Entertainment'}",佘葳芸／綜合外電報導,BIS：貿易發展是目前最大擔憂,國際清算銀行（BIS）首次公開示警，美國總統川普發動的貿易戰，以及其放寬金融管制計畫將帶來的風險。BIS總裁卡斯登斯（Agustin Carstens）直言，貿易發展是目前最大的擔憂，而財政政策、監管、移民政策和更廣泛的地緣政治，都仍是問號。,https://tw.stock.yahoo.com/news/bis-%E8%B2%BF%E6%98%93%E7%99%BC%E5%B1%95%E6%98%AF%E7%9B%AE%E5%89%8D%E6%9C%80%E5%A4%A7%E6%93%94%E6%86%82-201000299.html,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,2025-02-08T12:10:00Z,&amp;nbsp;17.7%19291%0.1%15%1.5%405S&amp;P50056752350022250W()! Q2AI,BIS：貿易發展是目前最大擔憂,BIS ： 貿易 發展 是 目前 最大 擔憂,0.4435926685483459
"{'id': None, 'name': 'Yahoo Entertainment'}",黃欣／綜合報導,DS爆紅 陸汽車、金融業也瘋狂,大陸人工智慧（AI）創新企業研發的AI大模型DeepSeek熱潮持續延燒。繼先前大陸互聯網巨頭與資通訊業者宣布接入DeepSeek後，近日銀行、券商、科技、汽車等行業更爭相與DeepSeek合作，以此增強風控、完善智慧服務等。預料這波DS熱潮還將燒向更多行業。,https://tw.stock.yahoo.com/news/ds%E7%88%86%E7%B4%85-%E9%99%B8%E6%B1%BD%E8%BB%8A-%E9%87%91%E8%9E%8D%E6%A5%AD%E4%B9%9F%E7%98%8B%E7%8B%82-201000391.html,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,2025-02-08T12:10:00Z,"AIAIDeepSeekDeepSeekDeepSeekDS
DeepSeek375AppStoreOpenAI o1
8AIDeepSeekDeepSeekDeepSeek
DeepSeekDeepSeek
DeepSeek7DeepSeek-R1
8DeepSeekDeepSeekAIDeepSeek
DeepSeekDeepSeek-R1
 35 8 1113.47",DS爆紅 陸汽車、金融業也瘋狂,DS 爆紅   陸汽車 、 金融 業也 瘋狂,0.36170909507298354
"{'id': None, 'name': 'Yahoo Entertainment'}",,凱基銀行2025第一季全球金融市場展望,回顧2024年，全球市場波動中仍普遍上揚，尤其是受益於AI題材的科技股，美股在連續兩年上漲後，2025年市場是否持盈保泰成為關鍵。展望2025年，隨著川普回歸及聯準會的政策走向，市場將面臨新的挑戰，凱基銀行建議2025年關注金融市場G.P.S三大核心因子，應對多變的政經局勢。,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_ff03cd63-4f25-4b66-9467-5fe2175baa41,,2025-02-08T12:10:00Z,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+703 chars]",凱基銀行2025第一季全球金融市場展望,凱基銀行 2025 第一季 全球 金融 市場 展望,0.9319732089009879
"{'id': None, 'name': 'Yahoo Entertainment'}",本報訊,龔鴻彬上周第12洞戰績,★晉級感言★ 很感謝在這一年半的時間對於我選擇參賽的股票，市場和所有廣大讀者能給予肯定和支持，也很感謝過去五個季度所遇過的所有競爭者，不同的選股邏輯所帶來的腦力激盪也讓我能更多元且多方向性的去思考標的的成長性，未來一季度我也會持續努力。,https://tw.stock.yahoo.com/news/%E9%BE%94%E9%B4%BB%E5%BD%AC%E4%B8%8A%E5%91%A8%E7%AC%AC12%E6%B4%9E%E6%88%B0%E7%B8%BE-201000155.html,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,2025-02-08T12:10:00Z,&amp;nbsp;17.7%19291%0.1%15%1.5%405S&amp;P50056752350022250W()! Q2AI,龔鴻彬上周第12洞戰績,龔鴻彬 上周 第 12 洞戰績,0.1210136480815528
"{'id': None, 'name': 'Yahoo Entertainment'}",,中國巨型使館逾千人抗議 英議員籲政府勿向北京低頭,（中央社記者陳韻聿倫敦8日專電）中國擬在名勝古蹟「倫敦塔」（Tower of London） 一帶、距倫敦金融城不遠的英國皇家鑄幣廠舊址興建歐洲規模最大中國使館，今天引發逾千人抗議，4名英國國會議員也到場聲援，呼籲政府勿向北京低頭。,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a820d90b-f6a1-4c14-a8fe-3699b5cc6787,,2025-02-08T12:04:24Z,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+703 chars]",中國巨型使館逾千人抗議 英議員籲政府勿向北京低頭,中國 巨型 使館 逾千人 抗議   英議員籲 政府 勿 向 北京 低頭,0.060164062733055745
"{'id': None, 'name': 'Cnbeta.com.tw'}",,DeepSeek引爆AI烧钱大战 三大独角兽密集融资 四巨头怒砸2万亿,"在DeepSeek热潮刺激下，新一轮大模型融资潮即将爆发！DeepSeek昨日被传获阿里10亿美元投资，估值达100亿美元，此消息被阿里当晚辟谣。更早前，金沙江创投主管合伙人朱啸虎在接受采访时也谈道，如果DeepSeek开放融资，“我肯定会投！”
DeepSeek融资消息虽假，但大模型融资热是确确实实的。这两天，海外大模型头部企业被曝多笔融资进展：SSI，OpenAI前首席科学家Ilya Sutskever的新初创公司，新一轮融资后估值将超200亿美元（约合人民币1460亿元）；OpenAI，400亿美元（约合…",https://www.cnbeta.com.tw/articles/tech/1477142.htm,https://static.cnbetacdn.com/article/2025/0208/1a00e6fb6dfc88a.png,2025-02-08T11:36:17Z,"DeepSeek
SSIOpenAIIlya Sutskever2001460
OpenAI4002921300021866
Anthropic201466004373
MetaAI315021361
01.SSIOpenAI1400
OpenAIIlya SutskeverSafe SuperintelligenceSSI2001460
6SSIIlya SutskeverAID… [+624 chars]",DeepSeek引爆AI烧钱大战 三大独角兽密集融资 四巨头怒砸2万亿,DeepSeek 引爆 AI 烧钱 大战   三大 独角兽 密集 融资   四 巨头 怒 砸 2 万亿,0.029577274620860572
"{'id': None, 'name': 'Cnbeta.com.tw'}",,沃尔沃汽车将几乎零成本收购Northvolt电池合资企业股份,"据报道，沃尔沃汽车发布的2024年第四季度报告称，该公司将几乎零成本收购瑞典电动汽车电池制造商Northvolt，在他们的电池合资企业NOVO Energy中50%的股份。
沃尔沃汽车的发言人表示：“此次收购的对价四舍五入为0瑞典克朗。收购金额是作为与Northvolt更大规模和解的一部分进行谈判的，考虑了多种因素。”对此，Northvolt尚未对置评请求作出回应。NOVO Energy是沃尔沃汽车与Northvolt于2021年成立的电池合资企业，双方各持股50%。该合资企业计划在瑞典西海岸的哥德堡建设一座年…",https://www.cnbeta.com.tw/articles/tech/1477138.htm,https://n.sinaimg.cn/spider20220628/485/w820h465/20220628/fd8a-8fdfea9dde66c9f818ebf346781a24f0.jpg,2025-02-08T11:35:49Z,2024NorthvoltNOVO Energy50%,沃尔沃汽车将几乎零成本收购Northvolt电池合资企业股份,沃尔沃 汽车 将 几乎 零 成本 收购 Northvolt 电池 合资企业 股份,0.8629333356638177
"{'id': None, 'name': 'Secretchina.com'}",www.secretchina.com,突发：四川山体滑坡致10户被埋30多人失联(组图),"2月8日中午，四川宜宾筠连县一村庄突然发生山体滑坡，目前至少造成10户民房被掩埋，30余人失联。不少大陆网民质疑是当地煤矿过度开采导致。 新闻 四川 - 看中国》是总部设于美国、以复兴传统中华文化为理念的独立媒体。自2001年起，坚持报道最新社会焦点和传统文化专题，中文报纸已在北美、欧洲、澳洲、亚洲等17个国家发行。中国新闻,中国大陆新闻,内幕新闻,中文媒体,新闻评论,时事,财经,博谈,历史,文化,养生,娱乐,奇闻。",https://www.secretchina.com/news/gb/2025/02/08/1077354.html,https://img6.secretchina.com/pic/2025/2-8/p3617581a335223385-ss.jpg,2025-02-08T11:15:25Z,Copyright © 2001 - Kanzhongguo.com All Rights Reserved.,突发：四川山体滑坡致10户被埋30多人失联(组图),突发 ： 四川 山体 滑坡 致 10 户 被 埋 30 多人 失联 ( 组图 ),0.9466165705928731
"{'id': None, 'name': 'Cnbeta.com.tw'}",,美国AI军工初创公司融资估值冲击280亿美元 仅隔半年又翻一倍,"根据最新报道，与“特朗普富豪朋友圈”关系颇为紧密的军工科技初创公司Anduril，正在寻求以280亿美元的估值进行融资。作为背景，Anduril在去年8月刚完成总额15亿美元的F轮融资，估值为140亿美元。掐指一算这才过了半年，估值又翻了一倍。
作为美国军工行业的“科技颠覆者”，Anduril成立于2017年，主营业务包括Lattice人工智能平台，以及基于AI的无人机、反无人机系统和一系列飞弹等。主力产品包括ALTIUS-700M巡飞弹、Bolt-M军用无人机等。与传统的军事承包商洛克希德·马丁、雷神、诺斯洛…",https://www.cnbeta.com.tw/articles/tech/1477128.htm,https://n.sinaimg.cn/sinakd20250208s/236/w640h396/20250208/bea9-d9a7e2b692591766b80d0e45a3189595.jpg,2025-02-08T10:06:15Z,"Anduril2017LatticeAIALTIUS-700MBolt-M
··Anduril12AndurilOpenAI
Anduril25
AIAnduril
AndurilPalmer LuckeyVROculus201420Facebook
Luckey201620173FacebookAnduril
Anduril·10··Anduril
Anduril·AIPalan… [+49 chars]",美国AI军工初创公司融资估值冲击280亿美元 仅隔半年又翻一倍,美国 AI 军工 初创 公司 融资 估值 冲击 280 亿美元   仅 隔 半年 又 翻 一倍,0.9135204585099185
"{'id': None, 'name': 'Secretchina.com'}",www.secretchina.com,川普暂停废止“小额豁免”中国电商蛇年一开工就倒闭(图),"中美新一轮贸易战在蛇年长假的最后一天打响，首先冲击到的是Temu 和 Shein 这两家头部跨境电商平台及其服务的千万零售商家。 新闻 美国 - 看中国》是总部设于美国、以复兴传统中华文化为理念的独立媒体。自2001年起，坚持报导最新社会焦点和传统文化专题，中文报纸已在北美、欧洲、澳洲、亚洲等17个国家发行。中国新闻,中国大陆新闻,内幕新闻,中文媒体,新闻评论,时事,财经,博谈,历史,文化,养生,娱乐,奇闻。",https://www.secretchina.com/news/gb/2025/02/08/1077352.html,https://img6.secretchina.com/pic/2025/2-8/p3617572a570989169-ss.jpg,2025-02-08T09:59:16Z,"27(U.S. Postal Service)(Joe Raedle/Getty Images 
202528(27) 
 
21800TemuShein27
21deminimis exemption800 
26100 
276000 
(U.S. Postal Service)5 
deminimis exemption800TemuShein1 
CNBC202413 … [+384 chars]",川普暂停废止“小额豁免”中国电商蛇年一开工就倒闭(图),川普 暂停 废止 “ 小额 豁免 ” 中国 电商 蛇 年 一 开工 就 倒闭 ( 图 ),0.9999244470585961
